Recency,Frequency,Monetary,Churn,AvgOrderValue,PurchaseSpanDays,PurchaseInterval,RepeatRatio,ChurnProbability,RiskSegment,Segment,SegmentName
326,12,77556.46,1,6463.038333333334,400,36.36363636363637,2.4,0.18038946372912348,Low Risk,2,VIP Loyal
2,8,5633.32,0,704.165,402,57.42857142857143,1.0,0.17984071890515485,Low Risk,2,VIP Loyal
75,5,2019.4,0,403.88,362,90.5,1.0,0.24438080688423897,Low Risk,3,regular
19,4,4428.69,0,1107.1725,570,190.0,1.0,0.11204627891594303,Low Risk,3,regular
310,1,334.4,1,334.4,0,0.0,1.0,0.6955236271609935,High Risk,1,Churned
375,1,300.93,1,300.93,0,0.0,1.0,0.6958598687874314,High Risk,1,Churned
36,10,2849.84,0,284.98400000000004,356,39.55555555555556,2.0,0.20987127832406832,Low Risk,2,VIP Loyal
204,2,406.76,1,203.38,204,204.0,1.0,0.5362342273404036,Medium Risk,0,Occasional
232,1,1079.4,1,1079.4,0,0.0,1.0,0.6879856673821612,High Risk,1,Churned
214,2,947.61,1,473.805,353,353.0,1.0,0.41366850637630814,Medium Risk,3,regular
23,6,6373.68,0,1062.28,401,80.2,1.2,0.19614276392770355,Low Risk,3,regular
33,3,18287.66,0,6095.886666666666,355,177.5,1.5,0.2665248809707805,Low Risk,3,regular
2,5,3887.07,0,777.414,730,182.5,1.0,0.04651485057264779,Low Risk,3,regular
58,10,8935.94,0,893.5939999999998,676,75.11111111111111,1.25,0.04368968665710433,Low Risk,2,VIP Loyal
52,8,4252.89,0,531.6112499999999,603,86.14285714285714,1.1428571428571428,0.06941510454682702,Low Risk,3,regular
287,4,511.25,1,127.8125,394,131.33333333333334,1.0,0.23551809233960977,Low Risk,0,Occasional
3,11,5356.23,0,486.92999999999995,735,73.5,1.2222222222222223,0.030578023879143514,Low Risk,2,VIP Loyal
110,2,552.0,0,276.0,132,132.0,1.0,0.592783297635516,Medium Risk,0,Occasional
8,4,1313.1,0,328.275,104,34.666666666666664,1.0,0.5597059132686435,Medium Risk,3,regular
291,2,641.38,1,320.69,0,0.0,2.0,0.6947845288747647,High Risk,1,Churned
634,1,500.24,1,500.24,0,0.0,1.0,0.6938545112009957,High Risk,1,Churned
4,1,168.9,0,168.9,0,0.0,1.0,0.6971842083142321,High Risk,1,Churned
628,1,917.6999999999999,1,917.6999999999999,0,0.0,1.0,0.6896304217515459,High Risk,1,Churned
413,3,1791.15,1,597.05,228,114.0,1.0,0.4359163094062061,Medium Risk,3,regular
51,7,4320.31,0,617.1871428571428,617,102.83333333333333,1.4,0.06876897672970322,Low Risk,3,regular
45,5,4067.38,0,813.476,600,150.0,1.6666666666666667,0.08770994925038893,Low Risk,3,regular
72,3,1298.04,0,432.68,224,112.0,1.0,0.441774248522729,Medium Risk,3,regular
311,3,1127.65,1,375.8833333333334,362,181.0,1.0,0.2990752986717728,Low Risk,3,regular
